model,rounds,criterion,depth,weight,feature,subsample,bootstrap,learning_rate,best_iter_mean,best_iter_max,cv_loss,cv_std,train_loss,train_std,used_time,folds,Xshape,option,
ETC,600,entropy,60,20,0.5,1,FALSE,,,,0.467032142,0.001028531,,,4557.410778,5,"(114321, 108)",[],
ETC,600,entropy,60,10,0.5,1,FALSE,,,,0.46459979,0.001191852,,,4711.896887,5,"(114321, 108)",[],
ETC,600,entropy,60,5,0.5,1,FALSE,,,,0.462055246,0.001318107,,,4715.429324,5,"(114321, 108)",[],
ETC,600,entropy,60,2,0.5,1,FALSE,,,,0.460443897,0.001191575,,,4664.443914,5,"(114321, 108)",[],
ETC,1200,gini,30,2,0.5,1,FALSE,,,,0.46143158,0.00160305,,,20862.43165,5,"(114321, 108)",[],
ETR,100,mse,10,6,0.5,1,FALSE,,,,0.477188421,0.0024578,,,261.4238629,5,"(114321, 108)",[],
ETR,600,mse,10,30,0.5,1,FALSE,,,,0.477876281,0.002598095,,,1522.510384,5,"(114321, 108)",[],
ETR,600,mse,10,20,0.5,1,FALSE,,,,0.477497284,0.002607157,,,1550.115353,5,"(114321, 108)",[],
ETR,600,mse,10,10,0.5,1,FALSE,,,,0.477115866,0.002508928,,,1667.594261,5,"(114321, 108)",[],
ETR,600,mse,10,5,0.5,1,FALSE,,,,0.476932444,0.002492922,,,3450.110989,5,"(114321, 108)",[],
ETR,600,mse,10,2,0.5,1,FALSE,,,,0.476601774,0.002649532,,,1805.514582,5,"(114321, 108)",[],
ETR,600,mse,20,30,0.5,1,FALSE,,,,0.469025817,0.002760184,,,2544.666898,5,"(114321, 108)",[],
ETR,600,mse,20,20,0.5,1,FALSE,,,,0.467659497,0.00268445,,,2612.897136,5,"(114321, 108)",[],
ETR,600,mse,20,10,0.5,1,FALSE,,,,0.465325525,0.002634407,,,2856.265164,5,"(114321, 108)",[],
ETR,600,mse,20,5,0.5,1,FALSE,,,,0.463421619,0.002420695,,,3020.607657,5,"(114321, 108)",[],
ETR,600,mse,20,2,0.5,1,FALSE,,,,0.461755623,0.002426742,,,3183.04941,5,"(114321, 108)",[],
ETR,600,mse,30,30,0.5,1,FALSE,,,,0.468907793,0.002750069,,,2512.120321,5,"(114321, 108)",[],
ETR,600,mse,30,20,0.5,1,FALSE,,,,0.467487083,0.002752139,,,4428.27422,5,"(114321, 108)",[],
ETR,600,mse,30,10,0.5,1,FALSE,,,,0.465047628,0.002828698,,,6315.13298,5,"(114321, 108)",[],
ETR,600,mse,30,5,0.5,1,FALSE,,,,0.462928355,0.00250305,,,3382.771799,5,"(114321, 108)",[],
ETR,600,mse,30,2,0.5,1,FALSE,,,,0.461881673,0.002369409,,,4011.26542,5,"(114321, 108)",[],
ETR,600,mse,40,30,0.5,1,FALSE,,,,0.468917579,0.002748944,,,2764.388684,5,"(114321, 108)",[],
ETR,600,mse,40,20,0.5,1,FALSE,,,,0.467455711,0.002745659,,,3007.126829,5,"(114321, 108)",[],
ETR,600,mse,40,10,0.5,1,FALSE,,,,0.465066623,0.002754231,,,5324.982976,5,"(114321, 108)",[],
ETR,600,mse,40,5,0.5,1,FALSE,,,,0.462986784,0.002493415,,,5794.617822,5,"(114321, 108)",[],
ETR,600,mse,40,2,0.5,1,FALSE,,,,0.461957538,0.002389094,,,7122.412229,5,"(114321, 108)",[],
ETC,500,gini,10,2,0.5,,FALSE,,0,0,0.461019068,0.003671249,0.436992528,0.000623597,359.1236241,10,"(50670, 27)",[],
